symptoms_description,disease
There is sneezing and it feels like cough.,Common Cold
My runny nose and fever are bothering me a lot.,Common Cold
"Since yesterday, I have noticed sore throat, fever, and sneezing.",Common Cold
There is runny nose and it feels like cough.,Common Cold
"Lately, sore throat has started along with cough and runny nose.",Common Cold
My cough and sore throat are bothering me a lot.,Common Cold
"I feel runny nose, sore throat, and sometimes even cough.",Common Cold
My cough and fever are bothering me a lot.,Common Cold
There is cough and it feels like fever.,Common Cold
"I feel runny nose, sneezing, and sometimes even fever.",Common Cold
There is runny nose and it feels like sneezing.,Common Cold
"Lately, sneezing has started along with runny nose and fever.",Common Cold
"Lately, runny nose has started along with sore throat and cough.",Common Cold
"I feel sneezing, fever, and sometimes even runny nose.",Common Cold
"I feel fever, runny nose, and sometimes even sneezing.",Common Cold
I have sore throat and also sneezing.,Common Cold
"Since yesterday, I have noticed sore throat, runny nose, and fever.",Common Cold
"Lately, sneezing has started along with sore throat and cough.",Common Cold
There is runny nose and it feels like cough.,Common Cold
My sore throat and fever are bothering me a lot.,Common Cold
I have been experiencing sore throat and fever recently.,Common Cold
"Since yesterday, I have noticed runny nose, sneezing, and sore throat.",Common Cold
"Since yesterday, I have noticed fever, cough, and sore throat.",Common Cold
"Lately, runny nose has started along with sore throat and fever.",Common Cold
I have sneezing and also cough.,Common Cold
"Lately, sneezing has started along with cough and sore throat.",Common Cold
I have fever and also cough.,Common Cold
"Lately, sore throat has started along with cough and runny nose.",Common Cold
I have sore throat and also sneezing.,Common Cold
"Lately, fever has started along with sneezing and runny nose.",Common Cold
I have sneezing and also runny nose.,Common Cold
"I feel runny nose, fever, and sometimes even sneezing.",Common Cold
"Since yesterday, I have noticed sore throat, cough, and runny nose.",Common Cold
There is runny nose and it feels like fever.,Common Cold
My fever and runny nose are bothering me a lot.,Common Cold
My sore throat and sneezing are bothering me a lot.,Common Cold
There is cough and it feels like runny nose.,Common Cold
"I feel fever, sneezing, and sometimes even cough.",Common Cold
I have been experiencing cough and sore throat recently.,Common Cold
"Lately, cough has started along with fever and sneezing.",Common Cold
My fever and sore throat are bothering me a lot.,Common Cold
I have sore throat and also runny nose.,Common Cold
My sore throat and cough are bothering me a lot.,Common Cold
"Lately, fever has started along with sneezing and runny nose.",Common Cold
My sneezing and cough are bothering me a lot.,Common Cold
My sore throat and cough are bothering me a lot.,Common Cold
"I feel fever, cough, and sometimes even sneezing.",Common Cold
"I feel sneezing, runny nose, and sometimes even sore throat.",Common Cold
"I feel runny nose, cough, and sometimes even sneezing.",Common Cold
"I feel runny nose, sneezing, and sometimes even fever.",Common Cold
My fever and sore throat are bothering me a lot.,Common Cold
My cough and runny nose are bothering me a lot.,Common Cold
I have cough and also runny nose.,Common Cold
I have been experiencing sore throat and runny nose recently.,Common Cold
I have been experiencing fever and sneezing recently.,Common Cold
"I feel sore throat, fever, and sometimes even sneezing.",Common Cold
I have been experiencing sneezing and fever recently.,Common Cold
There is fever and it feels like sore throat.,Common Cold
"I feel sore throat, fever, and sometimes even runny nose.",Common Cold
I have been experiencing cough and fever recently.,Common Cold
I have been experiencing cough and runny nose recently.,Common Cold
I have sneezing and also cough.,Common Cold
"Lately, runny nose has started along with sore throat and fever.",Common Cold
I have been experiencing fever and sore throat recently.,Common Cold
My sore throat and cough are bothering me a lot.,Common Cold
